name,description,lumina cost,health,defence,speed,critical rate
Accelerating Heal,Healing an ally also applies Rush for 1 turn,5,329,,65,
Accelerating Last Stand,Gain Rush if fighting alone,3,168,,34,
Accelerating Shots,20% chance to gain Rush on Free Aim shot,3,4869,301,,
Accelerating Tint,Healing tints also apply Rush,5,2162,,434,
Aegis Revival,1 Shield after being revived,5,,1990,672,
Anti-Blight,Immune to Blight,10,1897,949,,
Anti-Burn,Immune to Burn,15,1602,801,,
Anti-Charm,Immune to Charm,10,599,240,,
Anti-Freeze,Immune to Freeze,15,1464,733,,
Anti-Stun,Immune to Stun,5,2757,1572,,
At Death’s Door,Deal 50% more damage if Health is below 10%.,5,,1817,,34
Attack Lifesteal,Recover 15% Health on base attack,15,88,,,4
Augmented Aim,50% increased Free Aim damage,3,,,21,4
Augmented Attack,50% increased Base Attack damage,7,,8,10,
Augmented Counter I,25% increased Counterattack damage,3,95,,,4
Augmented Counter II,50% increased counterattack damage,5,,208,,15
Augmented Counter III,75% Increased Counterattack Damage,7,,733,,23
Augmented First Strike,50% Increased damage on the first hit. Once per battle,5,,,1008,18
Auto Death,Kill self on battle start,1,,,,26
Auto Powerful,Apply Powerful for 3 turns on battle start,10,,,241,20
Auto Regen,Apply Regen for three more turns on battle start,10,,479,,
Auto Rush,Apply Rush for three turns on battle start,10,,,112,7
Auto Shell,Apply Shell for 3 turns on battle start,10,411,,,
Base Shield,1 Shield if not affected by any Shield on turn start,20,,,378,11
Beneficial Contamination,2 AP on applying a Status Effect. Once per turn,15,,274,135,
Break Specialist,Break damage is increased by 50% but base damage is reduced by 20%,1,2705,,546,
Breaker,25% Increased Break Damage,10,,,26,9
Breaking Attack,Base attack can Break,10,,,154,17
Breaking Burn,25% increased Break damage on Burning enemies,3,,,243,9
Breaking Counter,50% Increased Break damage on Counterattack,,,,43,10
Breaking Death,Fully charge enemy's Break Bar on death,5,,,586,33
Breaking Shots,50% increased Break damage with Free Aim shots,1,,,43,10
Breaking Slow,25% increased Break damage against Slowed enemies,5,,,162,17
Burn Affinity,25% increased damage on Burning targets,10,,,439,12
Burning Break,Apply 3 burn stacks on Breaking a target,3,1541,,,24
Burning Death,Apply 3 Burn to all enemies on death,5,,,546,32
Burning Mark,Apply Burn on hitting a Marked enemy,15,44,32,,
Burning Shots,20% Chance to burn on Free Aim Shot,3,,,1376,8
Charging Alteration,10% of a Gradient Charge on applying a buff. Once per turn,10,,1501,546,
Charging Attack,15% of a Gradient Charge on Base Attack,7,,,266,22
Charging Burn,20% of a Gradient Charge on applying Burn. Once per turn,10,3152,,639,
Charging Counter,10% of a Gradient Charge on Counterattack,10,1333,647,,
Charging Critical,20% Gradient Charge on Critical Hit. Once per turn,10,,1891,,35
Charging Mark,20% of a Gradient Charge on hitting a Marked target. Once per turn.,10,,,413,27
Charging Stun,5% of a Gradient Charge on hitting a Stunned enemy,,922,,182,
Charging Tint,5% of a Gradient Charge on using an item,2,329,122,,
Charging Weakness,15% Gradient Charge on hitting a Weakness. Once Per turn.,5,,,280,23
Cheater,Always play twice in a row,40,1198,,400,
Clea's Life,On turn start if no damage taken since last turn recover 100% health,30,5591,,,
Cleansing Tint,Healing Tints also remove all Status Effects from the target,5,778,319,,
Combo Attack I,Base attack has one extra hit,10,,,93,6
Combo Attack II,Base attack has 1 extra hit,20,,,836,16
Combo Attack III,Base Attack has 1 extra hit,30,,,619,14
Confident,Take 50% less damage but can't be healed,20,,,519,31
Confident Fighter,30% increased damage but can't be healed,15,222,,,20
Critical Break,25% increased Break damage on Critical Hits.,,,,203,8
