character,name,power,element,vitality,defense,agility,luck,image
Gustave,Abysseram,91,Physical,C,D,,,/weapons/gustave-verso-abysseram.png
Gustave,Baguette,6873,Void,,S,A,,/weapons/gustave-verso-baguette.png
Gustave,Blodam,604,Light,,C,B,,/weapons/gustave-verso-blodam.png
Gustave,Chevalam,2501,Physical,,,A,B,/weapons/gustave-verso-chevalam.png
Gustave,Confuso,47,Light,,,D,C,/weapons/gustave-verso-confuso.png
Gustave,Contorso,,Lightning,,A,S,,/weapons/gustave-verso-contorso.png
Gustave,Corpeso,65,Fire,D,,C,,/weapons/gustave-verso-corpeso.png
Gustave,Cruleram,98,Ice,,C,,D,/weapons/gustave-verso-cruleram.png
Gustave,Cultam,1264,Dark,,A,B,,/weapons/gustave-verso-cultam.png
Gustave,Danseso,46,Fire,,,D,C,/weapons/gustave-verso-danseso.png
Gustave,Delaram,269,Light,C,,,B,/weapons/gustave-verso-delaram.png
Gustave,Demonam,158,Light,,C,B,,/weapons/gustave-verso-demonam.png
Gustave,Dreameso,731,Physical,,,B,C,/weapons/gustave-verso-dreameso.png
Gustave,Dualiso,191,Lightning,S,A,,,/weapons/gustave-verso-dualiso.png
Gustave,Gaulteram,259,Earth,,,B,C,/weapons/gustave-verso-gaulteram.png
Gustave,Gesam,57,Physical,D,,C,,/weapons/gustave-verso-gesam.png
Gustave,Glaceso,308,Ice,C,,,B,/weapons/gustave-verso-glaceso.png
Gustave,Lanceram,53,Physical,C,,D,,/weapons/gustave-verso-lanceram.png
Gustave,Liteso,1090,Physical,,B,C,,/weapons/gustave-verso-liteso.png
Gustave,Noahram,38,Physical,C,,,,/weapons/gustave-verso-noahram.png
Gustave,Nosaram,59,Physical,,,C,D,/weapons/gustave-verso-nosaram.png
Gustave,Sakaram,2938,Physical,,,S,A,/weapons/gustave-verso-sakaram.png
Gustave,Seeram,786,Light,C,,B,,/weapons/gustave-verso-seeram.png
Gustave,Simoso,3228,Light,A,,S,,/weapons/gustave-verso-simoso.png
Gustave,Sireso,863,Physical,B,,C,,/weapons/gustave-verso-sireso.png
Gustave,Tireso,2253,Earth,A,B,,,/weapons/gustave-verso-tireso.png
Gustave,Verleso,440,Physical,B,,,,/weapons/gustave-verso-verleso.png
Lune,Angerim,1645,Fire,,B,,A,/weapons/lune-angerim.png
Lune,Baguette,6873,Void,A,S,,,/weapons/lune-baguette.png
Lune,Benisim,299,Earth,B,C,,,/weapons/lune-benisim.png
Lune,Betelim,55,Earth,D,C,,,/weapons/lune-betelim.png
Lune,Braselim,808,Fire,C,,,B,/weapons/lune-braselim.png
Lune,Chapelim,611,Earth,,C,B,,/weapons/lune-chapelim.png
Lune,Choralim,1320,Fire,,A,B,,/weapons/lune-choralim.png
Lune,Colim,1007,Light,B,,C,,/weapons/lune-colim.png
Lune,Coralim,218,Ice,C,B,,,/weapons/lune-coralim.png
Lune,Deminerim,78,Lightning,,,D,C,/weapons/lune-deminerim.png
Lune,Elerim,59,Earth,C,D,,,/weapons/lune-elerim.png
Lune,Kralim,2319,Lightning,B,,A,,/weapons/lune-kralim.png
Lune,Lighterim,530,Fire,,,,,/weapons/lune-lighterim.png
Lune,Lithelim,739,Void,B,,,C,/weapons/lune-lithelim.png
Lune,Lunerim,37,Fire,D,,,C,/weapons/lune-lunerim.png
Lune,Painerim,43,Earth,D,,,C,/weapons/lune-painerim.png
Lune,Potierim,562,Ice,,C,B,,/weapons/lune-potierim.png
Lune,Redalim,336,Ice,,B,C,,/weapons/lune-redalim.png
Lune,Saperim,665,Lightning,,B,,C,/weapons/lune-saperim.png
Lune,Scaverim,909,Dark,B,,C,,/weapons/lune-scaverim.png
Lune,Snowim,66,Ice,D,,C,,/weapons/lune-snowim.png
Lune,Trebuchim,995,Lightning,B,,,C,/weapons/lune-trebuchim.png
Lune,Troubadim,286,Physical,C,B,,,/weapons/lune-troubadim.png
Maelle,Barrier Breaker,1018,Void,,B,C,,/weapons/maelle-barrier-breaker.png
Maelle,Battlum,399,Physical,,B,,C,/weapons/maelle-battlum.png
Maelle,Brulerum,78,Fire,,,D,C,/weapons/maelle-brulerum.png
Maelle,Chalium,61,Light,D,,C,,/weapons/maelle-chalium.png
Maelle,Chantenum,654,Fire,,,C,B,/weapons/maelle-chantenum.png
Maelle,Clierum,660,Lightning,,C,B,,/weapons/maelle-clierum.png
Maelle,Coldum,1043,Ice,A,B,,,/weapons/maelle-coldum.png
Maelle,Duenum,192,Physical,,B,C,,/weapons/maelle-duenum.png
Maelle,Facesum,55,Physical,D,,,C,/weapons/maelle-facesum.png
Maelle,Glaisum,2363,Physical,,A,B,,/weapons/maelle-glaisum.png
Maelle,Jarum,504,Physical,,B,,C,/weapons/maelle-jarum.png
Maelle,Lithum,1303,Void,,,B,A,/weapons/maelle-lithum.png
Maelle,Maellum,80,Physical,C,,,,/weapons/maelle-maellum.png
Maelle,Medalum,45,Physical,,C,D,,/weapons/maelle-medalum.png
Maelle,Melarum,634,Physical,B,,,C,/weapons/maelle-melarum.png
Maelle,Plenum,241,Ice,,C,,B,/weapons/maelle-plenum.png
Maelle,Seashelum,50,Fire,,D,C,,/weapons/maelle-seashelum.png
Maelle,Sekarum,270,Physical,B,,C,,/weapons/maelle-sekarum.png
Maelle,Stalum,1509,Fire,,A,,B,/weapons/maelle-stalum.png
Maelle,Tissenum,1164,Earth,C,,B,,/weapons/maelle-tissenum.png
Maelle,Veremum,1002,Physical,C,,,B,/weapons/maelle-veremum.png
Maelle,Volesterum,2440,Physical,B,,A,,/weapons/maelle-volesterum.png
Maelle,Yeverum,51,Physical,,C,D,,/weapons/maelle-yeverum.png
Sciel,Algueron,507,Ice,B,,,C,/weapons/sciel-algueron.png
Sciel,Baguette,8039,Void,,,A,S,/weapons/sciel-baguette.png
Sciel,Blizzon,59,Ice,,,,B,/weapons/sciel-blizzon.png
Sciel,Bourgelon,537,Light,C,,B,,/weapons/sciel-bourgelon.png
Sciel,Charnon,42,,,D,,C,/weapons/sciel-charnon.png
Sciel,Chation,282,Dark,C,,,B,/weapons/sciel-chation.png
Sciel,Corderon,39,Dark,,C,,D,/weapons/sciel-corderon.png
Sciel,Direton,65,Earth,,D,C,,/weapons/sciel-direton.png
Sciel,Garganon,973,Fire,B,C,,,/weapons/sciel-garganon.png
Sciel,Gobluson,582,Fire,,B,C,,/weapons/sciel-gobluson.png
Sciel,Guleson,,Lightning,,,,,/weapons/sciel-guleson.png
Sciel,Hevason,58,Physical,C,D,,,/weapons/sciel-hevason.png
Sciel,Litheson,830,Physical,,,C,B,/weapons/sciel-litheson.png
Sciel,Lusteson,550,Dark,B,,C,,/weapons/sciel-lusteson.png
Sciel,Martenon,,Earth,,,,,/weapons/sciel-martenon.png
Sciel,Minason,44,Physical,D,,,C,/weapons/sciel-minason.png
Sciel,Moisson,53,Physical,,,C,D,/weapons/sciel-moisson.png
Sciel,Ramasson,991,Physical,C,,,B,/weapons/sciel-ramasson.png
Sciel,Rangeson,287,Dark,,C,B,,/weapons/sciel-rangeson.png
Sciel,Sadon,499,Light,,C,B,,/weapons/sciel-sadon.png
Sciel,Scieleson,178,Physical,,,B,C,/weapons/sciel-scieleson.png
Sciel,Tisseron,763,Lightning,,C,B,,/weapons/sciel-tisseron.png
Monoco,Ballaro,1861,Light,,B,A,,/weapons/monoco-ballaro.png
Monoco,Boucharo,577,Fire,,,C,B,/weapons/monoco-boucharo.png
Monoco,Brumaro,61,Physical,,,,,/weapons/monoco-brumaro.png
Monoco,Chromaro,57,Ice,,D,C,,/weapons/monoco-chromaro.png
Monoco,Fragaro,1278,Lightning,,C,,B,/weapons/monoco-fragaro.png
Monoco,Grandaro,1434,Earth,A,B,,,/weapons/monoco-grandaro.png
Monoco,Joyaro,61,Lightning,,D,C,,/weapons/monoco-joyaro.png
Monoco,Monocaro,295,Physical,,,B,C,/weapons/monoco-monocaro.png
Monoco,Nusaro,545,Dark,C,,B,,/weapons/monoco-nusaro.png
Monoco,Sidaro,,Dark,,,,,/weapons/monoco-sidaro.png
Monoco,Urnaro,1272,Earth,A,,,B,/weapons/monoco-urnaro.png
